強盜: 搶劫: 0.702360987663269, 擄人勒: 0.6970389485359192, 竊盜: 0.6729945540428162, 藏匿: 0.6462152004241943, 盜竊: 0.633399248123169, 搶奪: 0.6271001100540161, 殺人: 0.6228457689285278, 詐欺: 0.6095839738845825, 擄人: 0.6060764193534851, 偷盜: 0.601280927658081, 
遭天譴: 十命: 0.677457332611084, 壞亂: 0.6733384132385254, 不祀: 0.6714876294136047, 睚眥必報: 0.6709746718406677, 荒宴: 0.6682250499725342, 知罪: 0.6676011085510254, 假神: 0.662999153137207, 敗行: 0.6567646265029907, 骨肉相殘: 0.6453819870948792, 欺君罔上: 0.6428666114807129, 
施強暴: dzhzsy: 0.8331984281539917, bariju: 0.8296085000038147, lenno: 0.8261213898658752, 光中社: 0.8260006904602051, 갤: 0.8257321119308472, 腹甲為: 0.825687825679779, 9452: 0.8242118954658508, qota: 0.8241218328475952, tanaoctenia: 0.8240798711776733, 5037: 0.8236958384513855, 
白賊: 禽獸不如: 0.7552419304847717, 夭壽: 0.7439614534378052, 孬種: 0.7413663268089294, 有夠: 0.733440637588501, 厚顏無恥: 0.7267279624938965, 畜牲: 0.7257590889930725, 沒良心: 0.7239923477172852, 絕子絕孫: 0.721592128276825, 沒路: 0.7187656164169312, 壞心: 0.7114793062210083, 
消: 歧義: 0.5542820692062378, 縛: 0.4546178877353668, 擾: 0.4438507556915283, 點眼: 0.4382685422897339, 絡: 0.4265592694282532, 物狂: 0.4265212416648865, 孕汁: 0.4231598675251007, 絕香: 0.42122167348861694, 人魂: 0.41777175664901733, 推星: 0.4160667359828949, 
賤人: 賤貨: 0.8275195360183716, 婊子: 0.8224295377731323, 破麻: 0.8064852356910706, 不得好死: 0.781308114528656, 犯賤: 0.7811720371246338, 潑婦: 0.7737189531326294, 白癡: 0.7728309631347656, 厚臉皮: 0.771093487739563, 沒教養: 0.7695285081863403, 縮頭烏龜: 0.7682282328605652, 
拐: 扁擔: 0.695297360420227, 扙: 0.6651356220245361, 朝天: 0.6487047076225281, 撩: 0.6385070085525513, 蹬: 0.6286016702651978, 草鞋: 0.6262334585189819, 關刀: 0.6229074597358704, 吊: 0.6173856258392334, 挎: 0.6157934665679932, 踏: 0.6062657833099365, 
奸臣: 讒言: 0.8174372911453247, 奸佞: 0.816295862197876, 擅權: 0.8155764937400818, 昏君: 0.81395423412323, 誅戮: 0.8136698603630066, 佞臣: 0.8107664585113525, 酷吏: 0.8103523254394531, 來俊臣: 0.8074774742126465, 朋黨: 0.8053255677223206, 秦檜: 0.8042131662368774, 
永興宮: 天上聖母: 0.7846701741218567, 福德宮: 0.775954008102417, 學甲: 0.7690624594688416, 慈聖宮: 0.7615366578102112, 主祀: 0.7595930695533752, 仔頂: 0.7582947015762329, 義竹: 0.7579526305198669, 褒忠: 0.7538958787918091, 霖肇宮: 0.7521868944168091, 大眾爺: 0.751792311668396, 
阿六仔: 靠媽: 0.6432067155838013, 衰小: 0.6382228136062622, 阿陸: 0.6353276968002319, 破麻及: 0.6343572735786438, 欠幹: 0.6289490461349487, 癟三: 0.6271139979362488, 喇賽: 0.6182904839515686, 丟死: 0.6179037094116211, 歪歪: 0.6147727966308594, 半唐番: 0.6114625930786133, 
說誰: 犯了罪: 0.7332483530044556, 何必如此: 0.7206785678863525, 務要: 0.7155250310897827, 彼非: 0.7091764211654663, 曾參殺人: 0.7029854655265808, 治不好: 0.6992448568344116, 符公: 0.6984685659408569, 他意: 0.695062518119812, 不求名: 0.6946582794189453, 用乎: 0.6905801892280579, 
不入流: 不知羞恥: 0.7200684547424316, 厚顏無恥: 0.719750165939331, 縮頭烏龜: 0.6954586505889893, 齷齪: 0.6898247003555298, 狗屁: 0.6869160532951355, 偽君子: 0.683408260345459, 不知廉恥: 0.6799618005752563, 不配: 0.6770099997520447, 欺善怕惡: 0.6738284230232239, 嘴臉: 0.6733760833740234, 
