幹你娘: 髒話: 0.775572657585144, 屌你老母: 0.7581965923309326, 粗口: 0.7560597658157349, 粗話: 0.7392834424972534, 感嘆詞: 0.7087435126304626, 懶音: 0.7064943909645081, 雞巴: 0.7056534290313721, 嘆詞: 0.6996194124221802, 例句: 0.6984925866127014, 屄: 0.6948261260986328, 
幹: 移剌窩: 0.5942639112472534, 預下: 0.5672347545623779, 塔克拉瑪: 0.5382646322250366, 預其: 0.5299801230430603, 預型: 0.5265144109725952, 麻立: 0.5152812004089355, 農活: 0.5086917281150818, 乾: 0.5039880275726318, 蔡廷: 0.4936671257019043, 預及: 0.49321499466896057, 
不要臉: 王八蛋: 0.7885801792144775, 說謊: 0.7272740602493286, 作秀: 0.7220073342323303, 幹嘛: 0.7200278043746948, 認錯: 0.715188205242157, 千萬別: 0.7071477174758911, 打臉: 0.7055152654647827, 活該: 0.703083872795105, 我錯: 0.6900365352630615, 痛罵: 0.6899634599685669, 
他媽的: 粗話: 0.7734687328338623, 混蛋: 0.734618067741394, 真話: 0.7266628742218018, 髒話: 0.7206370234489441, 這真: 0.7179925441741943, 廢話: 0.7163659930229187, 不要緊: 0.7090504765510559, 可笑: 0.7085757851600647, 我並: 0.7083315253257751, 不說: 0.7000106573104858, 
王八蛋: 不要臉: 0.7885801792144775, 粗話: 0.7402279376983643, 混蛋: 0.7337837815284729, 罵人: 0.7230424284934998, 打你: 0.7208585739135742, 認錯: 0.7175890803337097, 髒話: 0.7168084383010864, 罵: 0.7144998908042908, 沒出息: 0.7058521509170532, 說成: 0.700834333896637, 
神經病: 妄想症: 0.7272167801856995, 精神分裂: 0.686216413974762, 思覺: 0.6734883189201355, 強迫症: 0.6698141098022461, 耳聾: 0.6532812118530273, 口吃: 0.6519644260406494, 精神分裂症: 0.6507800817489624, 聾: 0.6507651805877686, 失調症: 0.650357723236084, 癢: 0.6401429772377014, 
垃圾: 廢物: 0.7417519092559814, 焚化爐: 0.6900800466537476, 填埋場: 0.684968113899231, 垃圾堆: 0.6582902669906616, 垃圾桶: 0.656093418598175, 廢棄物: 0.6387906074523926, 掩埋場: 0.6369848251342773, 廚餘: 0.6247450113296509, 垃圾場: 0.6241890788078308, 汙水: 0.6194263696670532, 
瘋女人: 煞到: 0.6623365879058838, 蘇霈: 0.63490229845047, 心肝寶貝: 0.6325225830078125, 傻傻: 0.6325042247772217, 心疼: 0.6317926645278931, 鮑正芳: 0.628524661064148, 阿珍: 0.6275122761726379, 心還: 0.6264639496803284, 移情別戀: 0.6230930685997009, 張小雯: 0.6229565143585205, 
操你媽: 屌你老母: 0.5867375135421753, 劉港榕: 0.5753761529922485, 指蔡: 0.5480918884277344, 誤聽: 0.5467879772186279, 雞巴: 0.5419170260429382, 混帳: 0.5405295491218567, 爛透了: 0.5380476713180542, 髒話: 0.5354052782058716, 他口: 0.5349054336547852, 近義詞: 0.5340975522994995, 
瘋子: 騙子: 0.7179989814758301, 混蛋: 0.7128181457519531, 白痴: 0.6971309185028076, 婊子: 0.6964986324310303, 傻子: 0.68691086769104, 老兄: 0.6832596659660339, 不折不扣: 0.6676907539367676, 劊子手: 0.6675877571105957, 吹牛: 0.6669869422912598, 該死: 0.6627995371818542, 
畜生: 餓鬼: 0.8644998073577881, 邪見: 0.7792363166809082, 三惡趣: 0.7790622115135193, 惡業: 0.7704506516456604, 惡道: 0.7683935165405273, 諸外: 0.7651086449623108, 十善: 0.7625200152397156, 六道輪迴: 0.7597196102142334, 故起: 0.7552155256271362, 十善業: 0.7534271478652954, 
混蛋: 無恥: 0.7707635164260864, 撒謊: 0.7457259893417358, 真話: 0.7353273630142212, 他媽的: 0.734618067741394, 王八蛋: 0.7337837815284729, 可笑: 0.7270225882530212, 愚蠢: 0.7252320051193237, 不說: 0.7198543548583984, 徹頭徹尾: 0.7191959619522095, 該死: 0.7165675163269043, 
無恥: 汙衊: 0.8332341909408569, 痛罵: 0.7948875427246094, 痛斥: 0.7948051691055298, 偽善: 0.7920822501182556, 怒斥: 0.7855978012084961, 詆譭: 0.7838143110275269, 可笑: 0.7832732796669006, 不負責任: 0.7778454422950745, 卑劣: 0.7749552130699158, 抹黑: 0.7745755910873413, 
流氓: 惡霸: 0.617310643196106, 阿華: 0.5999966263771057, 阿祥: 0.5992374420166016, 正牌: 0.5985752940177917, 小混混: 0.58512282371521, 色狼: 0.581682026386261, 保鑣: 0.5778664350509644, 扒手: 0.5773178935050964, 騙子: 0.5767808556556702, 混混: 0.5741543769836426, 
賤女人: 結髮: 0.5292636156082153, 王夫人: 0.517586886882782, 侍妾: 0.504296064376831, 劉萱: 0.49413126707077026, 虛夜月: 0.486733078956604, 格格: 0.485843688249588, 退婚: 0.4807823896408081, 閨名: 0.47813671827316284, 小妾: 0.47761380672454834, 正宮: 0.47291430830955505, 
畜牲: 如羊: 0.7074485421180725, 禽獸: 0.7008777856826782, 指人: 0.6838146448135376, 糞: 0.6783055067062378, 如牛: 0.6687222719192505, 不潔: 0.6684612035751343, 生瘡: 0.6619846820831299, 牛犬: 0.6614521145820618, 如人: 0.6597740054130554, 不聽話: 0.6549457907676697, 
