三小: 你娘: 0.7138674855232239, 推三小: 0.6880831718444824, 看三小: 0.6627681255340576, 洨: 0.6398653984069824, 我操: 0.6387801170349121, 卡好: 0.6359814405441284, 他媽的: 0.6333191394805908, 幹幹: 0.6330029964447021, 幹娘: 0.6324660181999207, 俗辣: 0.627269983291626, 
死不要臉: 瞎搞: 0.6270360946655273, 愛錢: 0.6224365830421448, 餿主意: 0.6144360899925232, 手軟: 0.6105663776397705, 恩將仇報: 0.6034684181213379, 吹牛: 0.6005542278289795, 想靠: 0.5966649055480957, 不務正業: 0.594933032989502, 謊話: 0.5875487327575684, 貪心: 0.5865839123725891, 
去你媽的: fuck: 0.5960796475410461, thank: 0.5551327466964722, 粗口: 0.5352686047554016, bullshit: 0.529885470867157, bitch: 0.5087653398513794, 朝本浩文: 0.498354971408844, shit: 0.49786311388015747, 兩句: 0.48395487666130066, 幹你娘: 0.48267272114753723, 惡語: 0.4823254942893982, 
小流氓: 混混: 0.6904550194740295, 老伯: 0.6816529631614685, 扒手: 0.6638395190238953, 大流氓: 0.6635122299194336, 色狼: 0.6456716060638428, 老太婆: 0.6418752074241638, 阿星: 0.6415250301361084, 小混混: 0.6392611265182495, 肥貓: 0.6276025772094727, 女鬼: 0.6244873404502869, 
看誰先: 先贏: 0.5147458910942078, 楊愛眉: 0.5143641233444214, 就贏: 0.51105797290802, 不買: 0.48828935623168945, 哪隊: 0.4870273172855377, 毅然決然: 0.4779590964317322, 別隊: 0.47774145007133484, 楊佳欣: 0.4774356782436371, 該不該: 0.4760778546333313, 你贏: 0.475330650806427, 
賣假藥: 洪宜蓁: 0.7465165853500366, 張志群: 0.7329585552215576, 方小祖: 0.7301898002624512, 劉世美: 0.7287334203720093, 王鳳嬌: 0.7271736264228821, 容先生: 0.7193336486816406, 林鴻山: 0.7186086177825928, 李保川: 0.7144745588302612, 彭愛妃: 0.7136597633361816, 李慧泉: 0.7115271091461182, 
老表: hea: 0.799507737159729, 張進強: 0.6864753365516663, 喇: 0.6826086044311523, 大藥坊: 0.6541340947151184, 閒角: 0.6502079963684082, 男親女愛: 0.6411130428314209, 學警: 0.6225873231887817, 陳莉敏: 0.6174097657203674, 林兆霞: 0.6112862825393677, 蘇麗珊: 0.6110461354255676, 
賤商: 鴨霸: 0.6527842283248901, 狗官: 0.5936411619186401, 天理何在: 0.5765942931175232, 還我: 0.5697937607765198, 有眼: 0.5659379959106445, 天理難容: 0.563042163848877, 公道: 0.555657684803009, 邱仕濃: 0.5519087910652161, 求天: 0.5488978028297424, 欺人太甚: 0.5425715446472168, 
竊盜: 強盜: 0.6625549793243408, 搶奪: 0.6625184416770935, 妨害自由: 0.6580587029457092, 妨害風化: 0.6449440717697144, 詐欺: 0.6115667819976807, 販賣毒品: 0.5664339065551758, 竊盜罪: 0.5646697878837585, 賭博: 0.5597742795944214, 侵占: 0.5542271137237549, 偷竊: 0.5527534484863281, 
瘋狗: 亂咬: 0.7118583917617798, 吠: 0.6959270238876343, 畜生: 0.6749310493469238, 母狗: 0.6480380892753601, 畜牲: 0.6402276754379272, 狗吠: 0.6266207695007324, 看門狗: 0.6262733936309814, 放屁: 0.6187768578529358, 拉屎: 0.6157436370849609, 狂吠: 0.6156588792800903, 
發生口角: 大打出手: 0.8081459403038025, 撞見: 0.6568560600280762, 毆鬥: 0.6566668748855591, 鬧翻: 0.6497302055358887, 推搡: 0.6484402418136597, 大吵一架: 0.6430601477622986, 爭風吃醋: 0.6383801698684692, 看不順眼: 0.637589156627655, 不歡而散: 0.634445309638977, 互嗆: 0.6281168460845947, 
