人面獸心: 羞: 0.7500746846199036, 滿嘴: 0.7478615045547485, 猩猩: 0.7466593980789185, 娘子: 0.7437617778778076, 阿等: 0.7426726222038269, 披著: 0.7413145303726196, 蠢: 0.7408992052078247, 真面目: 0.7391772866249084, 奸夫: 0.7391364574432373, 速速: 0.735102117061615, 
什小: 稀罕: 0.8538631796836853, 公都: 0.8498395681381226, 透早: 0.8425039052963257, 電給: 0.8298748731613159, 未條: 0.8258912563323975, 廖玉卿: 0.823208212852478, 超低: 0.8186997771263123, 給林北: 0.8173922896385193, 000135: 0.815775990486145, 去哮: 0.8133496046066284, 
棍子: 搶下來: 0.8777861595153809, 刀子: 0.8737713098526001, 拖把: 0.853015124797821, 掃把: 0.8415933847427368, 做勢: 0.8325051069259644, 拐杖: 0.827194333076477, 順手: 0.8247083425521851, 磚頭: 0.822035551071167, 手裡: 0.8194809556007385, 一根: 0.8136953115463257, 
金北七: 沙豬: 0.9020421504974365, 賤人: 0.6998368501663208, 開爛車: 0.6973910331726074, 爛人: 0.6971060633659363, 亂咬: 0.6944025158882141, 瞎子: 0.6926863193511963, 王八: 0.6912466287612915, 笨蛋: 0.6884002685546875, 賴皮: 0.6842015981674194, 八婆: 0.6840400695800781, 
偷漢子: 下西: 0.6703136563301086, 姦夫淫婦: 0.6678042411804199, 狐狸精: 0.6642481088638306, 老不修: 0.6613351702690125, 豬狗不如: 0.6494853496551514, 賤人: 0.6469281315803528, 沒教養: 0.645943284034729, 不孝: 0.6417719125747681, 無賴: 0.6392050981521606, 不得好死: 0.638260006904602, 
自私: 一生: 0.8273095488548279, 無知: 0.8257060647010803, 玩弄: 0.8220012187957764, 可悲: 0.8112064599990845, 良心: 0.8051722049713135, 奉勸: 0.7943724989891052, 卻是: 0.7917633056640625, 做人: 0.7884336709976196, 自利: 0.7861646413803101, 比喻: 0.7851783037185669, 
呼伊死: 及荏懶: 0.7238205671310425, 給你死: 0.7184884548187256, 埋起來: 0.707549512386322, 知死: 0.7065240144729614, 賣毒: 0.7046699523925781, 肖仔: 0.7002435326576233, 幹娘: 0.6982752084732056, 看三小: 0.6918622851371765, 看台: 0.6894935369491577, 烙人來: 0.6880433559417725, 
北七: 低能: 0.7913534641265869, 呆: 0.7751802206039429, 八婆: 0.7709100842475891, 鳥: 0.7697211503982544, 糙: 0.764177680015564, 醜男: 0.7585409283638, 靠北: 0.7581268548965454, 王八: 0.7562665343284607, 豬八戒: 0.7552371025085449, 猩猩: 0.7538187503814697, 
謀: 榜樣: 0.5871074199676514, 戰爭: 0.5854899287223816, 真心誠意: 0.5831185579299927, 不義: 0.5805892944335938, 而力: 0.5779882669448853, 去掉: 0.5765402317047119, 絕不能: 0.5717377662658691, 自詡: 0.5696027278900146, 自利: 0.5685722827911377, 言而無信: 0.5645951628684998, 
貪財: 貪婪: 0.6900947690010071, 作怪: 0.6879950165748596, 到極點: 0.6856480836868286, 恩將仇報: 0.6788299679756165, 厚臉皮: 0.6779764294624329, 惡毒: 0.6761744022369385, 生出: 0.6760979890823364, 很會: 0.674284815788269, 卑鄙無恥: 0.6725130081176758, 惡質: 0.6702699065208435, 
破: 樹給: 0.7039181590080261, 碎: 0.672791600227356, 會破: 0.6724088788032532, 砸給: 0.6674697995185852, 壞: 0.6377747654914856, 洴: 0.6353416442871094, 作亂: 0.6188749670982361, 開戒: 0.6170796155929565, 過像: 0.5861114263534546, 壞該: 0.5806498527526855, 
同母異父: 叔: 0.7983657121658325, 妯娌: 0.7924633026123047, 姐弟: 0.7807310819625854, 姊弟: 0.7726900577545166, 堂叔: 0.7674985527992249, 妹婿: 0.762856125831604, 堂兄弟: 0.7611865401268005, 連襟: 0.7607424855232239, 弟媳: 0.7588249444961548, 父女: 0.7587572932243347, 
老色鬼: 給逸軒: 0.9228001832962036, 勳昌: 0.9219871759414673, 乙致生: 0.921524167060852, 右乳: 0.9202934503555298, 折麼: 0.9196828007698059, 王俊力: 0.9196562767028809, 官姚: 0.9189016819000244, 何曜宇: 0.9184035062789917, 且令: 0.9177429676055908, 林登凱: 0.9176498651504517, 
家破人亡: 缺德事: 0.7457228899002075, 姆: 0.7087830305099487, 自腐: 0.6861264705657959, 稀罕: 0.6762552261352539, 奸夫: 0.674035370349884, 死子: 0.6692771911621094, 輕諾: 0.6673710346221924, 屍骨未寒: 0.6605014801025391, 尾子: 0.6602120399475098, 死皮賴臉: 0.6592403054237366, 
射: 噴: 0.6985654830932617, 爬: 0.6587133407592773, 橡皮筋: 0.6544674634933472, 天空: 0.6402881145477295, 白白的: 0.6333094239234924, 尾巴: 0.630722165107727, 頭上: 0.6293466091156006, 衛生紙: 0.6249768733978271, 刺: 0.6249538660049438, 黏: 0.6237480640411377, 
大茲巴: 禮興: 0.8847830295562744, 慶訴: 0.8809382915496826, 迷幻藥: 0.8775894641876221, 陸昭亨: 0.876724898815155, 江順雄: 0.8748358488082886, 2081: 0.8700535297393799, 邱景興: 0.8697984218597412, 方獲報: 0.8696901798248291, 義固: 0.8692004084587097, 齊右: 0.8687372207641602, 
婊人: 無眠: 0.7727886438369751, 瘋到: 0.7556753158569336, 死爸: 0.7065226435661316, 崽: 0.702011227607727, 肖仔: 0.699290931224823, 及荏懶: 0.6988776922225952, 臭查: 0.695136547088623, 荏懶: 0.6918936967849731, 哭媽: 0.6918487548828125, 懶覺: 0.6905064582824707, 
死不認錯: 永遠: 0.7912282943725586, 悲哀: 0.7908926010131836, 世上: 0.7870306372642517, 還真: 0.7851384282112122, 可笑: 0.7704237699508667, 牠: 0.763538122177124, 功夫: 0.7632079124450684, 吹牛: 0.7630435824394226, 老天: 0.7566264271736145, 佩服: 0.7565490007400513, 
胡言亂語: 歇斯底里: 0.6878663897514343, 喝醉酒: 0.6775596141815186, 驚慌: 0.6468285918235779, 脾氣: 0.6466818451881409, 隨口: 0.6428438425064087, 順口: 0.63884437084198, 發作: 0.6278915405273438, 神智不清: 0.6269713640213013, 心臟病: 0.620509147644043, 思緒: 0.6194826364517212, 
下來: 過來: 0.6884655952453613, 停下來: 0.6712213754653931, 不開: 0.66990065574646, 這時候: 0.6662130355834961, 進車: 0.6622406840324402, 走掉: 0.6550458073616028, 跑掉: 0.652906596660614, 快點: 0.6462997198104858, 我開: 0.64460289478302, 我的車: 0.641951322555542, 
三字經: 髒話: 0.8971987366676331, 字經: 0.6808943152427673, 五字經: 0.6754500865936279, 粗話: 0.6392598748207092, 出口: 0.6245623826980591, 客家話: 0.6226119995117188, 回嘴: 0.6110614538192749, 開口: 0.6022143363952637, 惡言: 0.5942308902740479, 有互: 0.5858407020568848, 
陽痿: 雷孫: 0.7564069032669067, 千年: 0.7114027738571167, 死去: 0.7008830904960632, 孝敬: 0.7002253532409668, 慈廟: 0.6962083578109741, 生出: 0.6959565281867981, 低能: 0.6932425498962402, 真不知道: 0.6931143999099731, 喪心病狂: 0.6920506358146667, 萬能: 0.687603235244751, 
假聖: 功夫: 0.725674569606781, 親離: 0.6950277090072632, 練氣: 0.6916277408599854, 投懷送抱: 0.6805157661437988, 悲哀: 0.6751383543014526, 庸醫: 0.6739405989646912, 可悲: 0.6727831363677979, 更讓人: 0.665575385093689, 收買人心: 0.665386438369751, 吹牛: 0.6642810106277466, 
自私自利: 不仁: 0.8167097568511963, 為富: 0.7913656234741211, 厚顏無恥: 0.7520090937614441, 惡質: 0.7474618554115295, 貪婪: 0.7342557907104492, 懦弱: 0.7124477624893188, 鴨霸: 0.7079330682754517, 齷齪: 0.7053321599960327, 至極: 0.7026075124740601, 之輩: 0.7024664282798767, 
明示: 通謀為: 0.596183180809021, 或默示: 0.5749815106391907, 默示: 0.5468011498451233, 不以: 0.5118463635444641, 訴究: 0.510093629360199, 無異議: 0.49434980750083923, 言明: 0.49342623353004456, 何項: 0.4675912857055664, 侮蔑: 0.46148204803466797, 採取任何: 0.4612242877483368, 
誤上賊船: 蔡壽力: 0.9201710820198059, 徐勝浩: 0.9191306829452515, 張雲志: 0.9184467792510986, 勳昌: 0.9168093204498291, 賢婷右: 0.9165687561035156, 王榮賓: 0.9163935780525208, 蕭元亮: 0.915880024433136, 吳朝隆: 0.9153447151184082, 14916: 0.9151917099952698, 右乳: 0.9151608943939209, 
衰小: 給你爸: 0.843634307384491, 擱: 0.8143608570098877, 你別: 0.8132209777832031, 老娘: 0.8110014796257019, 條子: 0.8099411725997925, 懶爛: 0.8098615407943726, 這輩子: 0.809533953666687, 不像樣: 0.8048346042633057, 太閒: 0.8021444082260132, 好怕: 0.8012964725494385, 
笨笨: 憨: 0.7684023380279541, 吃軟飯: 0.7547033429145813, 絕子絕孫: 0.7489703893661499, 蕩婦: 0.7420271635055542, 豬八戒: 0.7388452887535095, 狐狸精: 0.7386890053749084, 笨: 0.7357819080352783, 禽獸: 0.7298400402069092, 四代: 0.7241843938827515, 忘恩負義: 0.723301887512207, 
無業遊民: 惡質: 0.7763998508453369, 吃軟飯: 0.7758562564849854, 禽獸: 0.775596022605896, 男子漢: 0.7654878497123718, 鴨霸: 0.7628675103187561, 這人: 0.7566956877708435, 查某: 0.7530735731124878, 傢伙: 0.749313235282898, 白賊: 0.7475429177284241, 歹: 0.7470128536224365, 
犯蠢: 臉皮厚: 0.5259345769882202, 不知廉恥: 0.5148239135742188, 母豬: 0.5122790336608887, 一天到晚: 0.507905900478363, 妖: 0.501419186592102, 丟臉: 0.49851030111312866, 連篇: 0.49250251054763794, 犯賤: 0.49214842915534973, 耍: 0.4910307228565216, 厲害: 0.4890696406364441, 
路霸: 惡霸: 0.6379587650299072, 余伯雄: 0.6263306736946106, 搶劫: 0.5954623222351074, 屢勸不聽: 0.5907028913497925, 地盤: 0.5816964507102966, 做賊: 0.5805633068084717, 霸佔: 0.5774976015090942, 擾民: 0.5753986239433289, 偷偷摸摸: 0.5689842104911804, 亂: 0.5595933198928833, 
臭機巴: 幹娘: 0.8058463931083679, 機八: 0.8057432770729065, 死爸: 0.8012557029724121, 機巴: 0.8007611036300659, 衝三小: 0.8007184863090515, 囂俳: 0.7971257567405701, 講三小: 0.7932978868484497, 靠爸: 0.7890187501907349, 龜兒子: 0.7825611233711243, 俗辣: 0.7799869775772095, 
吃大便: 沒人要: 0.8630764484405518, 好吃: 0.8529228568077087, 她媽: 0.8494060039520264, 爽: 0.848495602607727, 欠幹: 0.8431676626205444, 吃屎: 0.8414614200592041, 嫁不出去: 0.8387715220451355, 夭壽: 0.8275630474090576, 老爸: 0.8252134323120117, 餒: 0.8241192102432251, 
母狗: 智障: 0.8331231474876404, 烏龜: 0.8219876289367676, 小狗: 0.8163801431655884, 禽獸: 0.8116732239723206, 吃大便: 0.8100118637084961, 雜種: 0.8074567317962646, 賤貨: 0.8065085411071777, 狗母: 0.8059762716293335, 牠: 0.8007152080535889, 髒: 0.7955362200737, 
奸人: 語女: 0.8334766626358032, 偏執狂: 0.8332042694091797, 林芳祺: 0.8293325901031494, 橫行霸道: 0.8289684057235718, 動物性: 0.8250292539596558, 官勢: 0.8240702152252197, 高翊軒: 0.8207051753997803, 殷殷: 0.8191313743591309, 誤上賊船: 0.8183045387268066, 這年頭: 0.8167818784713745, 
破麻仔: 臭查: 0.6987976431846619, 死父: 0.6919984817504883, 老機巴: 0.6827784776687622, 哭母: 0.6820363998413086, 肖話: 0.6726171970367432, 哭父: 0.6596285104751587, 奧麻及: 0.6594904661178589, 臭機巴: 0.6591081023216248, 仔台: 0.6588817238807678, 雞八: 0.6573174595832825, 
